countries,Base/location,Region,Weapon system,Remarks
Belgium,Kline Brogel AB,Limburg,B61-3/4,US bombs for delivery by Belgian F-16s of the 10th Fighter Wing. Weapons in custody of US 701st MUNSS
China,22 Base (Baoji area),Shaanxi,Various,Central warhead storage site
China,51 Base (Shenyang area),Liaoning and Shandong,DF-21/DF-31 SSMs,"Regional storage site for 806, 810, 816, and 828 Missile Brigades"
China,52 Base (Huangshan and Tunxi areas),"Anhui, Jiangxi, Zhejiang",DF-15/DF-21 SSMs,"Regional warhead storage site for 807, 811, 815, 817, 819, and 820 Missile Brigades"
China,53 Base (Kunming and Liuzhou areas),"Yunnan, Guangxi",DF-21 SSMs,"Regional warhead storage site for 802, 808, and 821 Missile Brigades"
China,54 Base (Luoyang area),Henan,"DF-4, DF-5A/B, DF-26, DF-31A SSMs","Regional warhead storage site for 801, 804, 813, and 827 Missile Brigades"
China,55 Base (Huaihua area),Hunan,"DF-4, DF-5A/B, DF-31A SSMs","Regional warhead storage site for 803, 805, and 814 Missile Brigades"
China,56 Base (Xining area),Gansu and Qinghai,DF-21 and DF-31A SSMs,"Regional storage site for 809, 812, and 823 Missile Brigades"
China,Jianggezhuang NSB area,Shandong,JL-2 SLBMs,Possible warhead storage site for JL-2 SLBMs and Jin SSBNsb
China,Mianyang,Sichuan,Various,Warhead design. CAEP
China,Pingtung area,Sichuan,Various,Nuclear weapons fabrication. Possible underground storage site deep in the mountains near Mianyang (Institute of Materials)
China,Longpo (Yulin) NSB area,Hainan,JL-2 SLBMs,Possible warhead storage site for JL-2 SLBMs on Jin SSBNs
China,Zitong area,Sichuan,Various,"Warhead assembly, disassembly, and dismantlement. Possibly China’s “Pantex Plant”c"
France,Avord AB,Centre,"TNA, ASMPA ALCM",Storage and maintenance site for ASMPA
France,"Centre d’Etudes de Valduc (Lery, north of Dijon)",Bourgogne,"TN75, TNA, TNO","Warhead assembly, disassembly, and dismantlement"
France,Ile Longue NSB,Bretagne,"TN75, TNO (replacing TN75), M51 SLBMs",For 4 Triomphant-class SSBNs
France,Istres AB,Provence,"TNA, ASMPA ALCM",For Mirage-2000N fighter-bombers. To be replaced with Rafale K3
France,Saint-Dizier AB,Champagne-Ardenne,"TNA, ASMPA ALCM",For Rafale K3 fighter-bombers. Might also store weapons for Rafale MK3 on Charles de Gaulle aircraft carrier based in Toulon NB
France,"Saint-Jean, south of Ile Longue",Bretagne,"TN75, TNO (replacing TN75)",Warhead storage site for M51 SLBMs at nearby SSBN base
Germany,Büchel AB,Rheinland-Pfalz,B61-3/4,US bombs for delivery by German PA-200 Tornados of the 33rd Tactical Air Force Squadron. Weapons in custody of US 702nd MUNSS
India,Chandighar Plant,Punjab,Various,Possible warhead production
India,Jodhpur facility,Rajasthan,Prithvi/Agni SSMs,Potential storage facility for Prithvi and/or Agni SSMs and/or warheads
India,Unknown Air Force storage facilitiese,Unknown,Bombs,For potential use by Jaguar IS at Ambala and Gorakhpur ABs and Mirage 2000H at Gwalior AB
India,Unknown Army storage facilitiesf,Unknown,Prithvi/Agni SSMs,"For use by 222nd and 333rd Missile Groups (Prithvi), and 334th and 335th Missile Groups (Agni)"
India,Unknown Navy facilityg,Unknown,"Dhanush ShLBM, K-15 SLBM",For use by 2 Sukanya patrol ships and 1 Arihant SSBN
Italy,Aviano AB,Friuli-Venezia Giulia,B61-3/4,For delivery by US F-16s of the 31st Fighter Wing
Italy,Ghedi AB,Lombardia,B61-3/4,US bombs for delivery by Italian PA-200 Tornados of the 6th Fighter Wing. Weapons in custody of US 704th MUNSS
Israel,Dimona site,?,Various,"Negev Nuclear Research Center. Plutonium, tritium, and warhead production"
Israel,Soreq Nuclear Research Center,?,Various,"Possible warhead design, fabrication, and maintenance"
Israel,Sdot Micha missile base,?,Jericho II SSMs,25–50 mobile MRBMs in caves. Warhead components potentially on base or at separate depot
Israel,Nevatim AB,?,Bombs,For potential use by F-16A/B fighter-bombers. Bomb components probably at separate depot
Israel,Tel Nof AB,?,Bombs,For potential use by F-16I and/or F-15I fighter-bombers. Bomb components probably at separate depot
Netherlands,Volkel AB,Noord-Brabant,B61-3/4,US bombs for delivery by Dutch F-16s of the 1st Fighter Wing. Weapons in custody of US 703rd MUNSS
Pakistan,Akro Garrison,Sindh,Possibly Babur GLCM,Possible underground weapons storage site
Pakistan,Gujranwala Garrison,Punjab,Possibly NASR SSM,Possible weapons storage with components in remote depot
Pakistan,Khuzdar Garrison,Balochistan,Possibly Shaheen-2 SSM,Possible underground weapons storage site
Pakistan,Masroor Depot (Karachi),Sindh,Bombs,Potential storage of bombs for Mirage Vs at Masroor AB
Pakistan,National Development Complex (Fatehjang),Punjab,SSMs,SSM launcher assembly and potential warhead component storage
Pakistan,Pano Akil Garrison,Sindh,"Possibly Shaheen-1, Ghaznavi, or NASR SSM",Possible weapons storage with components in remote depot
